"Município","Unidade Gestora","Ano","Nº da Conta","Tipo da Conta","Descrição da Conta","Código do Banco","Nome do Banco","Nº da Agência","Extrato","Débito","Crédito","Conciliado","no_key","Extrato","Mês/Ano"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000203130","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTE FÉ - AP 20313-0                          ","001","BCO DO BRASIL S.A.","010324","7584.25","0","0","7584.25","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000203130","Conta Corrente","PM BONITO DE SANTE FÉ - CC 20313-0                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000202746","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTE FÉ - AP 20274-6                          ","001","BCO DO BRASIL S.A.","010324","100206.49","0","0","100206.49","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000202746","Conta Corrente","PM BONITO DE SANTE FÉ - CC 20274-6                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","000000020269X","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTE FÉ - AP 20269-X                          ","001","BCO DO BRASIL S.A.","010324","100289.3","0","0","100289.3","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","000000020269X","Conta Corrente","PM BONITO DE SANTE FÉ - CC 20269-X                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000202681","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTE FÉ - AP 20268-1                          ","001","BCO DO BRASIL S.A.","010324","401157.18","0","0","401157.18","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000202681","Conta Corrente","PM BONITO DE SANTE FÉ - CC 20268-1                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","000000020207X","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - AP 20.207-X EMENDA                  ","001","BCO DO BRASIL S.A.","010324","100302.4","0","0","100302.4","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","000000020207X","Conta Corrente","PM BONITO DE SANTA FÉ - CC 20.207-X EMENDA                  ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000200433","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - AP 20043-3                          ","001","BCO DO BRASIL S.A.","010324","1028.19","0","0","1028.19","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000200433","Conta Corrente","PM BONITO DE SANTA FÉ - CC 20043-3                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000200425","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - AP 20042-5                          ","001","BCO DO BRASIL S.A.","010324","277371.27","0","0","277371.27","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000200425","Conta Corrente","PM BONITO DE SANTA FÉ - CC 20042-5                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000200395","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - AP CONV 124 2025                    ","001","BCO DO BRASIL S.A.","010324","61098.11","0","0","61098.11","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000200395","Conta Corrente","PM BONITO DE SANTA FÉ - CC CONV 124 2025                    ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000200298","Conta Investimento - Fundo de Investimento","PM BONITO SANTE FÉ - APL EMENDA 20029-8                     ","001","BCO DO BRASIL S.A.","010324","50.51","0","0","50.51","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000200298","Conta Corrente","PM BONITO SANTE FÉ - CC EMENDA 20029-8                      ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000199923","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - AP 19992-3                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000199923","Conta Corrente","PM BONITO DE SANTA FÉ - CC 19992-3                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000199915","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - AP 19991-5                          ","001","BCO DO BRASIL S.A.","010324","253.48","0","0","253.48","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000199915","Conta Corrente","PM BONITO DE SANTA FÉ - CC 19991-5                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000199907","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - CC 19990-7                          ","001","BCO DO BRASIL S.A.","010324","685.77","0","0","685.77","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000199907","Conta Corrente","PM BONITO DE SANTA FÉ - CC 19990-7                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000199893","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - AP 19989-3                          ","001","BCO DO BRASIL S.A.","010324","140.78","0","0","140.78","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000199893","Conta Corrente","PM BONITO DE SANTA FÉ - CC 19989-3                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000199168","Conta Investimento - Fundo de Investimento","PM BSF EMENDA INC. MAC SUS 19916-8 APL                      ","001","BCO DO BRASIL S.A.","010324","20.37","0","0","20.37","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000199168","Conta Corrente","PM BSF EMENDA INC. MAC SUS 19916-8                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","000000019915X","Conta Investimento - Fundo de Investimento","PM BSF EMENDA INC. MAC SUS 19915-X APL                      ","001","BCO DO BRASIL S.A.","010324","595.11","0","0","595.11","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","000000019915X","Conta Corrente","PM BSF EMENDA INC. MAC SUS 19915-X                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000199141","Conta Investimento - Fundo de Investimento","PM BSF EMENDA INC. MAC SUS 19914-1APL                       ","001","BCO DO BRASIL S.A.","010324","370.38","0","0","370.38","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000199141","Conta Corrente","PM BSF EMENDA INC. MAC SUS 19914-1                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","000000019901X","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - AP 19901-X                          ","001","BCO DO BRASIL S.A.","010324","145.15","0","0","145.15","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","000000019901X","Conta Corrente","PM BONITO DE SANTA FÉ - CC 19901-X                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000197254","Conta Investimento - Fundo de Investimento","BONITO STA FE SME FUNDEB APL                                ","001","BCO DO BRASIL S.A.","010324","2957030.4","0","0","2957030.4","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000197254","Conta Corrente","BONITO STA FE SME FUNDEB                                    ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000196312","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ - AP 19631-2                          ","001","BCO DO BRASIL S.A.","010324","407461.37","0","0","407461.37","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000196312","Conta Corrente","PM BONITO DE SANTA FÉ - CC 19631-2                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000195502","Conta Investimento - Fundo de Investimento","PM BSF EMENDA INC. ATENÇÃO PRIMARIA SUS 19550-2 APLIC       ","001","BCO DO BRASIL S.A.","010324","120.71","0","0","120.71","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000195502","Conta Corrente","PM BSF EMENDA INC. ATENÇÃO PRIMARIA SUS 19550-2             ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000195499","Conta Investimento - Fundo de Investimento","PM BSF EMENDA INC. ATENÇÃO PRIMARIA SUS 19549-9 AP          ","001","BCO DO BRASIL S.A.","010324","13.53","0","0","13.53","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000195499","Conta Corrente","PM BSF EMENDA INC. ATENÇÃO PRIMARIA SUS 19549-9             ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000195480","Conta Investimento - Fundo de Investimento","PM BSF EMENDA INC. ATENÇÃO PRIMARIA SUS 19548-0 AP          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000195480","Conta Corrente","PM BSF EMENDA INC. ATENÇÃO PRIMARIA SUS 19548-0             ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000195456","Conta Investimento - Fundo de Investimento","PM BSF EMENDA INC. MAC SUS 19545-6                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000195456","Conta Corrente","PM BSF EMENDA INC. MAC SUS 19545-6                          ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000194948","Conta Investimento - Fundo de Investimento","PM BSF EMENDA ESTADO 19494-8 APLIC                          ","001","BCO DO BRASIL S.A.","010324","1895.37","0","0","1895.37","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000194948","Conta Corrente","PM BSF EMENDA ESTADO 19494-8                                ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000194921","Conta Investimento - Fundo de Investimento","PM BSF CONVENIO ESTADO APLIC                                ","001","BCO DO BRASIL S.A.","010324","442785.43","0","0","442785.43","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000194921","Conta Corrente","PM BSF CONVENIO ESTADO                                      ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000194786","Conta Investimento - Fundo de Investimento","PM BSF 19478-6 CONV ESTADO APL                              ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000194786","Conta Corrente","PM BSF 19478-6 CONV ESTADO                                  ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000194573","Conta Investimento - Fundo de Investimento","PM BONITO DE SANTA FÉ 19457-3 APLIC                         ","001","BCO DO BRASIL S.A.","010324","883.44","0","0","883.44","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000194573","Conta Corrente","PM BONITO DE SANTA FÉ 19457-3                               ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000194247","Conta Investimento - Fundo de Investimento","PM BSF TRANSP ESCOLAR 19424-7 APLIC                         ","001","BCO DO BRASIL S.A.","010324","22562.43","0","0","22562.43","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000194247","Conta Corrente","PM BSF  TRANSP ESCOLAR 19424-7                              ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
