"Município","Unidade Gestora","Mês","Descrição","Valor Ajustado","Valor Estornado","Tipo","Categoria","Fonte","Subfonte","Alínea","Subalínea","Fonte de Recurso","CO"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","09 - Setembro","13210101 - Remuneração de Depósitos Bancários - Principal","34382.73","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","10 - Outubro","13210101 - Remuneração de Depósitos Bancários - Principal","27475.53","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","11 - Novembro","13210101 - Remuneração de Depósitos Bancários - Principal","13124.97","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","12 - Dezembro","13210101 - Remuneração de Depósitos Bancários - Principal","28152.71","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","04 - Abril","13210401 - Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS - Principal","-34099.62","0","Dedução da Receita de Rendimentos e Investimentos","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","06 - Junho","13210401 - Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS - Principal","-19399.83","0","Dedução da Receita de Rendimentos e Investimentos","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","11 - Novembro","13210401 - Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS - Principal","-39380.25","0","Dedução da Receita de Rendimentos e Investimentos","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","12 - Dezembro","13210401 - Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS - Principal","-122092.66","0","Dedução da Receita de Rendimentos e Investimentos","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","02 - Fevereiro","19229901 - Outras Restituições - Principal","502411.03","0","Lançamento de receita","10000000 - Receitas Correntes","19000000 - Outras Receitas Correntes","19200000 - Indenizações, Restituições e Ressarcimentos","19220000 - Restituições","19229000 - SEM SUBALINEA","802 | Recursos vinculados ao RPPS - Taxa de Administração","0000 | "
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","03 - Março","19229901 - Outras Restituições - Principal","553269.36","0","Lançamento de receita","10000000 - Receitas Correntes","19000000 - Outras Receitas Correntes","19200000 - Indenizações, Restituições e Ressarcimentos","19220000 - Restituições","19229000 - SEM SUBALINEA","802 | Recursos vinculados ao RPPS - Taxa de Administração","0000 | "
