"Município","Unidade Gestora","Ano","Nº da Conta","Tipo da Conta","Descrição da Conta","Código do Banco","Nome do Banco","Nº da Agência","Extrato","Débito","Crédito","Conciliado","no_key","Extrato","Mês/Ano"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000514152","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","51415-2 FUNDO MUNI PIA - FIA APLIC                          ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000514152","Conta Corrente","51415-2 FUNDO MUNI PIA - FIA                                ","001","BCO DO BRASIL S.A.","00944X","2010","0","0","2010","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000512974","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","51297-4 FMS PISO ENFERMAGEM APLIC                           ","001","BCO DO BRASIL S.A.","00944X","28.18","0","0","28.18","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000512974","Conta Corrente","51297-4 FMS PISO ENFERMAGEM                                 ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000509787","Conta Investimento - Fundo de Investimento","BB apl - 50978-7 - CONTA EST REDE DE SERVIÇOS DO S          ","001","BCO DO BRASIL S.A.","00994X","11027.31","0","0","11027.31","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000509787","Conta Corrente","BB CC - 50978-7 - CONTA EST REDE DE SERVIÇOS DO SU          ","001","BCO DO BRASIL S.A.","00944X","0","3825.36","0","3825.36","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000506605","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","50.660-5 LICITAÇÃO CAUÇÃO - APLIC                           ","001","BCO DO BRASIL S.A.","00944X","3790.9","0","0","3790.9","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000506605","Conta Corrente","50.660-5 LICITAÇÃO CAUÇÃO - CC                              ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000506524","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","C/A 50652-4 SEDAM - APLI                                    ","001","BCO DO BRASIL S.A.","00944X","221392.72","0","0","221392.72","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000506524","Conta Corrente","C/C 50652-4 SEDAM                                           ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000506516","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","C/A 50651-6 SEDAM - APLI                                    ","001","BCO DO BRASIL S.A.","00944X","387437.26","0","0","387437.26","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000506516","Conta Corrente","C/C 50651-6 SEDAM                                           ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000506508","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","50650-8 SEDAM APLIC                                         ","001","BCO DO BRASIL S.A.","00944X","343158.71","0","0","343158.71","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000506508","Conta Corrente","50650-8 SEDAM CC                                            ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000504912","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","CONV SECULT 50491-2 INV                                     ","001","BCO DO BRASIL S.A.","00944X","233.44","0","0","233.44","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000504912","Conta Corrente","CONV SECULT 50491-2                                         ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000503339","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","50.333-9  Lei Aldir Blanc - PNAB APLIC                      ","001","BCO DO BRASIL S.A.","00044X","57584.14","0","0","57584.14","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000503339","Conta Corrente","50.333-9  Lei Aldir Blanc - PNAB CC                         ","001","BCO DO BRASIL S.A.","00044X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000473669","Conta Investimento - Fundo de Investimento","E 587 24 SEDAM - INV                                        ","001","BCO DO BRASIL S.A.","00944X","360.25","0","0","360.25","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000473669","Conta Corrente","E 587 24 SEDAM - CC                                         ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000473537","Conta Investimento - Fundo de Investimento","SIGTV250527920240002 GND3 - INV                             ","001","BCO DO BRASIL S.A.","00944X","88.32","0","0","88.32","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000473537","Conta Corrente","SIGTV250527920240002 GND3 - CC                              ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000473510","Conta Investimento - Fundo de Investimento","SIGTV250527920240001 GND3 - INV                             ","001","BCO DO BRASIL S.A.","00944X","5228.39","0","0","5228.39","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000473510","Conta Corrente","SIGTV250527920240001 GND3 - CC                              ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000466824","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","ALDIR BLANC 46.682-4 INV                                    ","001","BCO DO BRASIL S.A.","00944X","1.19","0","0","1.19","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000466824","Conta Corrente","ALDIR BLANC 46.682-4  CC                                    ","001","BCO DO BRASIL S.A.","00944X","0","0","77.05","-77.05","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000464716","Conta Investimento - Poupança","ETI - INV                                                   ","001","BCO DO BRASIL S.A.","009440","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000464716","Conta Corrente","ETI - CC                                                    ","001","BCO DO BRASIL S.A.","009440","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000463167","Conta Investimento - Fundo de Investimento","SIGTV CUSTEIO GND3 - INV                                    ","001","BCO DO BRASIL S.A.","00944X","373.77","0","0","373.77","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000463167","Conta Corrente","SIGTV CUSTEIO GND3 - CC                                     ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000462462","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","46246-2 FOPAG BRADESCO APLIC                                ","237","BCO BRADESCO S.A.","020095","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000462462","Conta Corrente - Fopag","46246-2 FOPAG BRADESCO                                      ","237","BCO BRADESCO S.A.","020095","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000459828","Conta Investimento - Fundo de Investimento","PAULO GUSTAVO - OUTRAS - INV                                ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
